programID,Date,eventType,Venue,Location,Time
3853,1842-12-07T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
5178,1843-02-18T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
10785,1843-04-07T05:00:00Z,Special,Apollo Rooms,"Manhattan, NY",8:00PM
5887,1843-04-22T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
305,1843-11-18T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
3368,1844-01-13T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
4226,1844-03-16T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
5087,1844-05-18T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
6310,1844-11-16T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1979,1845-01-11T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
2821,1845-03-01T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
3259,1845-04-19T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
4919,1845-11-22T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
562,1846-01-17T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1408,1846-03-07T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1851,1846-04-25T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
2321,1846-05-20T05:00:00Z,Special,Castle Garden,"Manhattan, NY",None
3540,1846-11-21T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
6573,1847-01-09T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
47,1847-03-06T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
450,1847-04-17T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
2178,1847-11-27T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
5195,1848-01-15T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
10581,1848-02-05T05:00:00Z,Special,Castle Garden,"Manhattan, NY",8:00PM
6064,1848-03-04T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
6493,1848-04-29T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",None
1171,1848-12-02T05:00:00Z,Subscription Season,"Assembly Rooms, Chinese Buildings","Manhattan, NY",8:00PM
2607,1849-01-27T05:00:00Z,Subscription Season,"Assembly Rooms, Chinese Buildings","Manhattan, NY",8:00PM
3931,1849-03-17T05:00:00Z,Subscription Season,Apollo Saloon,"Manhattan, NY",8:00PM
5300,1849-05-12T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
7278,1849-11-24T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
571,1850-01-12T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1907,1850-03-02T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
6269,1850-04-20T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
792,1850-11-23T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1443,1851-01-11T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
2806,1851-03-01T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
7161,1851-04-26T05:00:00Z,Subscription Season,Apollo Rooms,"Manhattan, NY",8:00PM
1666,1851-11-22T05:00:00Z,Subscription Season,Niblo's Concert Room,"Manhattan, NY",8:00PM
2377,1852-01-10T05:00:00Z,Subscription Season,Niblo's Concert Room,"Manhattan, NY",8:00PM
6717,1852-02-28T05:00:00Z,Subscription Season,Niblo's Concert Room,"Manhattan, NY",8:00PM
682,1852-04-17T05:00:00Z,Subscription Season,Niblo's Concert Room,"Manhattan, NY",8:00PM
2574,1852-11-13T05:00:00Z,Subscription Season,Niblo's Concert Saloon,"Manhattan, NY",8:00PM
3266,1853-01-15T05:00:00Z,Subscription Season,Niblo's Concert Saloon,"Manhattan, NY",8:00PM
4607,1853-03-05T05:00:00Z,Subscription Season,Niblo's Concert Saloon,"Manhattan, NY",8:00PM
1583,1853-04-23T05:00:00Z,Subscription Season,Niblo's Concert Saloon,"Manhattan, NY",8:00PM
513,1853-11-26T05:00:00Z,Subscription Season,Metropolitan Hall,"Manhattan, NY",8:00PM
1191,1854-01-14T05:00:00Z,Subscription Season,Broadway Tabernacle,"Manhattan, NY",8:00PM
2561,1854-03-04T05:00:00Z,Subscription Season,Broadway Tabernacle,"Manhattan, NY",8:00PM
6902,1854-04-22T05:00:00Z,Subscription Season,Broadway Tabernacle,"Manhattan, NY",8:00PM
5792,1854-12-02T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
2149,1855-01-20T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
3474,1855-03-10T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
421,1855-04-21T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
6613,1855-05-19T05:00:00Z,Special,Niblo's Garden,"Manhattan, NY",8:00PM
2339,1855-11-24T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
3023,1856-01-12T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
4355,1856-03-01T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
1292,1856-04-19T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
3225,1856-11-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3918,1857-01-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5264,1857-03-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2244,1857-04-25T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4134,1857-11-21T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
4814,1858-01-09T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
6185,1858-03-06T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3150,1858-04-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2117,1858-11-20T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
2785,1859-01-08T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
7145,1859-02-12T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
4122,1859-03-26T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
1083,1859-04-30T05:00:00Z,Subscription Season,Niblo's Garden,"Manhattan, NY",8:00PM
3007,1859-11-19T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3679,1860-01-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
663,1860-02-11T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5011,1860-03-24T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2014,1860-04-28T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
3879,1860-11-10T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
858,1860-12-22T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
1541,1861-02-02T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
5937,1861-03-16T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
2887,1861-04-20T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
11479,1861-05-25T05:00:00Z,Special,Academy of Music,"Manhattan, NY",7:30PM
4794,1861-11-09T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
1738,1861-12-21T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
2457,1862-02-01T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",None
6795,1862-03-15T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3788,1862-04-26T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
2737,1862-11-08T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
7100,1862-12-20T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3446,1863-01-31T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
4783,1863-03-14T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
1726,1863-04-25T05:00:00Z,Subscription Season,Irving Hall,"Manhattan, NY",8:00PM
3648,1863-11-07T05:00:00Z,Subscription Season,Academy of Music,"Manhattan, NY",8:00PM
